ccn,provider,state,city,zip,address,owner,phone,nc_offer,pt_offer,ot_offer,sp_offer,ms_offer,hha_offer,certified_date,rating,certify_yrs,timely,drug_edu,fall_ck,depr_ck,flu_shot,pneu_shot,pain_ck,pain_tr,bedsore_tr,bedsore_ck,mov_rec,bed_rec,bath_rec,pain_rec,breath_rec,drug_use,er,adm,readm,re_er,er_cd,readm_cd,othr_cnt,dietn_cnt,aide_cnt,lpn_cnt,ocpt_cnt,phys_cnt,rn_cnt,scl_cnt,spch_cnt,income,male_65,female_65,lat,lng,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B01003_001E,B19301_001E,county,state.1,tract
67482,COVENANTCARE AT HOME,CO,WESTMINSTER,80031,9101 HARLAN STREET #135,Non - Profit Religious,3034871009,Yes,Yes,Yes,Yes,Yes,Yes,2009-10-30 00:00:00,3.5,6,94.2,91.2,99.0,99.4,83.5,90.7,99.7,98.8,100.0,98.7,67.8,59.8,71.4,67.2,75.3,51.7,11.3,17.9,Same As Expected,Same As Expected,1,1,0.25,0.25,1.25,0.0,1.0,2.0,2.0,0.5,0.25,28450,18,41,39.8617411,-105.064244,0,0,2,16,0,0,2,7,32,0,0,0,2143,28450,59,8,9831
57788,TORRANCE MEMORIAL HOME HEALTH,CA,TORRANCE,90505,23326 HAWTHORNE BLVD SUITE 100 A,Non - Profit Private,3107843739,Yes,Yes,Yes,Yes,Yes,Yes,1987-12-10 00:00:00,4.5,28,95.5,99.6,100.0,99.4,82.4,85.3,99.4,100.0,99.9,99.6,71.7,68.5,79.4,78.9,72.8,65.2,18.1,11.5,Same As Expected,Same As Expected,1,1,18.86,0.25,1.48,5.0,2.16,12.26,22.4,1.9,0.66,39199,533,698,33.8142984,-118.3499957,49,91,112,70,133,78,28,99,180,117,92,182,5422,39199,37,6,651101
59505,"NOBLE HOME HEALTH, INC",CA,BURBANK,91505,"2609 WEST WYOMING AVE, SUITE B",Proprietary,8185990805,Yes,Yes,Yes,Yes,Yes,Yes,2012-11-09 00:00:00,4.5,3,99.4,100.0,100.0,100.0,79.6,65.5,100.0,100.0,100.0,100.0,96.5,30.1,82.4,98.1,83.4,71.8,12.6,9.1,Same As Expected,Same As Expected,1,1,0.0,0.0,0.1,0.25,0.0,0.0,1.0,0.0,0.0,36483,116,304,34.1786931,-118.3400791,16,33,11,23,25,8,49,59,57,87,34,18,4032,36483,37,6,311000
197462,EUNICE COMMUNITY HOME HEALTH,LA,EUNICE,70535,3581 HIGHWAY 190,Proprietary,3375500002,Yes,Yes,Yes,Yes,Yes,Yes,1992-07-08 00:00:00,5.0,24,100.0,100.0,100.0,100.0,57.3,57.7,100.0,100.0,97.4,100.0,79.6,80.9,86.2,96.2,82.5,84.4,8.0,8.0,Same As Expected,Same As Expected,1,1,0.0,0.0,0.5,1.0,0.0,0.0,2.0,0.0,0.0,14463,330,211,30.8169325,-92.6622049,41,146,62,55,21,5,54,4,66,61,12,14,5548,14463,3,22,950200
267514,LUTHERAN HOME/HOME HEALTH,MO,CAPE GIRARDEAU,63703,2825 BLOOMFIELD ROAD,Non - Profit Religious,5733341515,Yes,Yes,Yes,Yes,Yes,Yes,1996-08-07 00:00:00,5.0,20,98.4,100.0,100.0,100.0,85.1,95.9,100.0,100.0,91.3,100.0,80.4,74.9,87.1,74.7,79.4,63.2,11.6,11.3,Same As Expected,Same As Expected,1,1,0.0,0.0,0.5,0.0,0.25,1.0,2.0,0.25,0.25,33240,456,690,37.292367,-89.561931,48,30,88,67,78,145,83,51,116,86,94,260,4621,33240,31,29,881500
157542,SULLIVAN COUNTY COMMUNITY HOSPITAL HOME HEALTH,IN,SULLIVAN,47882,2110 N HOSPITAL BLVD STE #3,Government - State/ County,8122684311,Yes,Yes,Yes,Yes,Yes,Yes,2002-07-23 00:00:00,3.5,14,89.4,99.4,100.0,100.0,92.4,87.3,100.0,100.0,100.0,99.4,60.4,97.3,79.8,74.3,59.0,75.7,20.6,9.2,Same As Expected,Same As Expected,1,1,0.0,0.0,1.0,0.0,0.5,1.0,2.6,0.2,0.2,48183,757,939,32.8216428,-79.8498555,119,104,157,110,147,120,150,168,135,91,270,125,8931,48183,19,45,4606
367587,HERITAGE HEALTH CARE SERVICES,OH,MAUMEE,43537,1625 INDIAN WOOD CIRCLE,Proprietary,4198673450,Yes,Yes,Yes,Yes,Yes,Yes,1994-08-11 00:00:00,3.0,22,95.7,99.0,99.8,100.0,83.2,77.5,99.9,99.4,99.2,99.9,51.6,42.7,59.5,62.7,51.9,35.4,15.7,11.4,Same As Expected,Same As Expected,1,1,0.0,0.0,3.75,1.0,0.0,0.0,10.0,0.5,0.0,27243,257,253,41.585385,-83.679464,56,74,59,31,30,7,40,72,42,40,33,26,4438,27243,95,39,7101
447126,NHC HOMECARE CHATTANOOGA,TN,CHATTANOOGA,37421,"5959 SHALLOWFORD ROAD, SUITE 539",Proprietary,4238771716,Yes,Yes,Yes,Yes,Yes,Yes,1977-06-06 00:00:00,3.5,39,88.3,97.8,99.4,98.4,63.0,70.2,98.4,99.7,100.0,99.5,65.6,72.1,64.9,70.9,72.4,62.9,15.9,14.4,Same As Expected,Same As Expected,1,1,2.0,0.0,0.25,1.0,1.25,2.0,4.25,0.0,0.5,16267,227,369,35.0562318,-85.1930513,20,36,35,82,30,24,36,96,72,46,46,73,3460,16267,65,47,11444
178069,ENCOMPASS HOME HEALTH OF KANSAS,KS,TOPEKA,66611,"2016 SW 37TH STREET, SUITE 100",Proprietary,7852328593,Yes,Yes,Yes,Yes,Yes,Yes,2006-05-03 00:00:00,4.0,10,98.6,94.8,100.0,99.7,87.5,93.9,99.1,98.0,100.0,100.0,74.4,50.4,76.2,80.8,79.2,46.7,19.5,10.1,Same As Expected,Same As Expected,1,1,0.0,0.0,0.5,0.0,1.5,1.0,3.0,0.25,0.25,19618,167,212,39.054899,-95.694711,55,19,9,9,67,8,44,32,32,23,20,61,3557,19618,177,20,2100
77136,AMEDISYS HOME HEALTH,CT,STAMFORD,6902,"68 SOUTHFIELD AVENUE, SUITE 215",Proprietary,2033272680,Yes,Yes,Yes,Yes,Yes,Yes,1981-10-15 00:00:00,4.0,34,95.5,97.4,98.6,98.1,79.2,77.3,98.3,99.5,95.9,98.9,72.1,60.2,73.0,77.7,76.1,56.2,14.0,14.5,Same As Expected,Same As Expected,1,1,0.0,0.25,8.5,3.0,5.0,12.0,13.0,0.5,2.0,29212,211,376,41.0379834,-73.5470229,1,5,74,95,18,18,11,33,100,121,111,0,6401,29212,1,9,22300
