ccn,provider,state,city,zip,address,owner,phone,nc_offer,pt_offer,ot_offer,sp_offer,ms_offer,hha_offer,certified_date,rating,certify_yrs,timely,drug_edu,fall_ck,depr_ck,flu_shot,pneu_shot,pain_ck,pain_tr,bedsore_tr,bedsore_ck,mov_rec,bed_rec,bath_rec,pain_rec,breath_rec,drug_use,er,adm,readm,re_er,er_cd,readm_cd,othr_cnt,dietn_cnt,aide_cnt,lpn_cnt,ocpt_cnt,phys_cnt,rn_cnt,scl_cnt,spch_cnt,income,male_65,female_65,lat,lng,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B01003_001E,B19301_001E,county,state.1,tract
17008,JEFFERSON COUNTY HOME CARE,AL,BESSEMER,35020,2201 ARLINGTON AVENUE,Government - State/ County,2059169500,Yes,Yes,Yes,Yes,Yes,Yes,1972-10-01 00:00:00,3.0,43,81.1,96.7,97.9,99.5,47.3,59.9,99.1,99.4,98.9,99.5,69.6,61.7,65.9,68.4,71.8,51.9,8.1,13.3,Same As Expected,Same As Expected,1,1,0.0,0.0,7.0,2.0,0.0,0.0,13.0,1.0,0.0,9693,143,335,33.4032403,-86.9454702,7,30,60,14,15,17,39,42,29,39,102,84,4298,9693,73,1,10302
17009,ALACARE HOME HEALTH & HOSPICE,AL,BIRMINGHAM,35216,2970 LORNA ROAD,Proprietary,2058242680,Yes,Yes,Yes,Yes,Yes,Yes,1973-01-18 00:00:00,4.0,43,93.0,98.7,100.0,99.8,71.8,76.9,100.0,99.8,99.9,100.0,72.7,68.0,78.4,76.8,74.9,64.3,17.0,10.7,Same As Expected,Same As Expected,1,1,50.0,1.0,48.75,22.5,17.0,50.0,226.0,14.0,6.0,20885,163,419,33.408477,-86.805113,22,1,37,71,0,32,31,127,85,93,50,33,5246,20885,73,1,12908
17016,SOUTHEAST ALABAMA HOMECARE,AL,ENTERPRISE,36330,804 GLOVER AVENUE,Proprietary,3347940591,Yes,Yes,Yes,Yes,Yes,No,1976-06-09 00:00:00,4.0,40,96.9,99.2,100.0,98.8,69.7,75.9,99.4,100.0,98.9,99.6,76.1,63.1,79.5,68.9,74.7,62.7,19.0,14.6,Same As Expected,Same As Expected,1,1,0.0,0.0,0.0,4.25,1.0,1.0,5.5,0.25,0.5,14536,254,517,31.3213521,-85.8339894,60,23,30,46,28,67,39,73,101,59,67,178,4305,14536,31,1,11300
17018,GENTIVA HEALTH SERVICES,AL,RAINBOW CITY,35906,"3225 RAINBOW STREET, SUITE 256",Proprietary,2564421138,Yes,Yes,Yes,Yes,Yes,Yes,1977-01-01 00:00:00,4.0,39,93.4,98.2,100.0,99.7,83.1,85.2,99.9,99.7,99.6,99.6,78.2,66.9,78.7,70.1,75.2,60.2,17.1,11.9,Same As Expected,Same As Expected,1,1,11.0,0.5,5.0,5.0,4.0,15.0,25.0,1.5,3.0,21961,189,309,33.9621937,-86.0348832,32,24,25,102,6,0,40,37,40,88,68,36,3332,21961,55,1,10401
17020,AMEDISYS HOME HEALTH CARE,AL,MOBILE,36609,"273 AZALEA ROAD, SUITE 204, BLDG 2",Proprietary,2513800492,Yes,Yes,Yes,Yes,Yes,Yes,1977-05-23 00:00:00,3.5,39,87.5,96.0,95.7,98.1,36.6,42.4,99.9,99.6,99.3,99.9,71.5,61.9,76.7,74.4,83.0,64.2,15.6,9.7,Same As Expected,Same As Expected,1,1,0.0,0.0,2.5,4.0,3.0,8.5,13.0,0.5,2.0,22178,31,46,30.6745872,-88.146431,8,1,2,5,15,0,27,0,6,3,10,0,3253,22178,97,1,3204
17024,SOUTHEAST ALABAMA HOMECARE,AL,DOTHAN,36301,2841 MONTGOMERY HIGHWAY,Proprietary,3347940591,Yes,Yes,Yes,Yes,Yes,Yes,1978-06-01 00:00:00,4.5,38,95.4,99.4,99.8,99.1,65.7,74.9,99.7,99.9,97.2,99.0,80.2,72.9,81.9,79.6,79.4,66.2,17.3,13.9,Same As Expected,Same As Expected,1,1,5.5,0.0,1.0,11.5,2.0,2.0,17.5,0.75,1.0,35271,199,307,31.24734,-85.4241629,52,27,42,43,21,14,32,33,62,57,64,59,2578,35271,69,1,40400
17025,SAAD HEALTHCARE,AL,MOBILE,36609,"1515 UNIVERSITY BLVD, SOUTH",Proprietary,2513439600,Yes,Yes,Yes,Yes,Yes,Yes,1978-12-28 00:00:00,2.5,37,94.4,95.4,99.0,95.2,41.9,39.4,99.1,97.7,96.4,99.1,64.2,53.6,67.9,60.3,66.1,58.6,19.7,8.8,Same As Expected,Same As Expected,1,1,66.0,0.5,6.0,5.0,8.5,10.0,63.0,2.0,4.0,22662,194,199,30.6610452,-88.1614003,38,15,75,7,42,17,54,7,27,47,33,31,3574,22662,97,1,3203
17027,DECATUR MORGAN HOMECARE,AL,DECATUR,35603,"2708 HIGHWAY 31 SOUTH, SUITE B",Proprietary,2563504182,Yes,Yes,Yes,Yes,Yes,Yes,1979-07-25 00:00:00,4.5,37,97.8,99.7,99.9,99.8,71.2,76.5,99.8,99.9,99.5,99.8,80.9,71.9,81.7,75.1,75.4,66.0,15.8,11.3,Same As Expected,Same As Expected,1,1,0.0,0.0,1.2,9.6,3.0,9.6,19.6,1.0,0.4,17726,129,378,34.554923,-86.973021,14,10,46,43,8,8,120,41,60,50,44,63,4906,17726,103,1,5109
17028,CENTRAL ALABAMA HOMECARE,AL,FULTONDALE,35068,345 WALKER CHAPEL PLAZA,Proprietary,2057837900,Yes,Yes,Yes,Yes,Yes,Yes,1979-06-01 00:00:00,2.5,37,84.9,97.3,98.0,92.4,61.3,85.2,97.4,92.6,97.5,98.7,65.2,54.5,61.9,61.1,62.8,53.5,18.8,13.2,Better Than Expected,Same As Expected,1,1,21.0,0.0,4.0,3.0,3.0,3.0,15.0,1.0,1.0,26352,560,605,33.6110416,-86.7977506,216,126,45,93,53,27,155,168,108,49,74,51,6846,26352,73,1,12002
17034,COMFORT CARE COASTAL HOME HEALTH,AL,FAIRHOPE,36532,374 SOUTH GREENO ROAD,Non - Profit Religious,2516214431,Yes,Yes,Yes,Yes,No,Yes,1981-05-26 00:00:00,4.0,35,97.4,98.9,99.6,99.8,78.6,79.2,99.9,99.9,100.0,99.8,67.3,64.1,77.5,79.5,73.2,61.1,17.5,10.4,Better Than Expected,Same As Expected,1,1,13.0,0.0,6.0,1.0,4.0,7.0,22.0,0.0,0.0,30790,445,876,30.5140515,-87.8861857,70,105,127,45,68,30,112,126,188,158,52,240,5546,30790,3,1,11202
17037,BAPTIST HOME HEALTH,AL,MONTGOMERY,36109,"300 INTERSTATE PARK DRIVE, SUITE 312",Proprietary,3343955100,Yes,Yes,Yes,Yes,No,Yes,1981-10-01 00:00:00,4.0,34,94.0,91.4,99.5,96.7,50.6,43.8,98.4,99.6,97.1,99.6,72.3,71.9,79.6,82.1,78.4,69.8,17.1,12.7,Same As Expected,Same As Expected,1,1,6.0,0.0,1.0,5.0,1.25,5.5,9.5,0.0,0.25,35275,356,469,32.3619064,-86.2421444,66,32,108,66,39,45,38,32,118,181,58,42,4291,35275,101,1,2700
17039,AMEDISYS HOME HEALTH OF HUNTSVILLE,AL,HUNTSVILLE,35801,"250 CHATEAU DRIVE SW, SUITE 245",Proprietary,2569229919,Yes,Yes,Yes,Yes,Yes,Yes,1982-08-05 00:00:00,4.0,34,91.5,98.5,97.3,95.0,60.0,50.2,98.9,95.7,90.1,99.1,73.4,63.9,78.2,77.3,78.0,66.7,16.5,13.7,Same As Expected,Same As Expected,1,1,0.0,0.0,2.25,4.25,4.25,10.25,26.6,1.0,1.25,38708,417,619,34.6937465,-86.5734698,31,101,72,26,155,32,0,86,111,149,83,190,3979,38708,89,1,2600
